date,opening_balance,rate_applied,deposits,contributions,withdrawals,interest,closing_balance
2026-04-22,0.0000,0.0800,100.0000,0.0000,0.0000,0.0000,100.0000
2026-04-23,100.0000,0.0800,0.0000,0.0000,0.0000,0.0211,100.0211
2026-04-24,100.0211,0.5000,0.0000,0.0000,0.0000,0.1112,100.1323
2026-04-25,100.1323,0.5000,0.0000,0.0000,0.0000,0.1113,100.2436
2026-04-26,100.2436,0.5000,0.0000,10.0000,0.0000,0.1225,110.3661
2026-04-27,110.3661,0.5000,5.0000,0.0000,0.0000,0.1282,115.4943
2026-04-28,115.4943,0.5000,0.0000,0.0000,0.0000,0.1284,115.6227
2026-04-29,115.6227,0.5000,0.0000,0.0000,0.0000,0.1285,115.7512
2026-04-30,115.7512,0.5000,0.0000,0.0000,0.0000,0.1287,115.8799
2026-05-01,115.8799,0.5000,0.0000,0.0000,0.0000,0.1288,116.0087
2026-05-02,116.0087,0.5000,0.0000,0.0000,0.0000,0.1289,116.1376
2026-05-03,116.1376,0.5000,0.0000,0.0000,0.0000,0.1291,116.2667
2026-05-04,116.2667,0.5000,0.0000,0.0000,0.0000,0.1292,116.3959
2026-05-05,116.3959,0.5000,0.0000,0.0000,0.0000,0.1294,116.5253
2026-05-06,116.5253,0.5000,0.0000,0.0000,0.0000,0.1295,116.6548
2026-05-07,116.6548,0.5000,0.0000,0.0000,0.0000,0.1297,116.7845
2026-05-08,116.7845,0.5000,0.0000,0.0000,0.0000,0.1298,116.9143
2026-05-09,116.9143,0.5000,0.0000,0.0000,0.0000,0.1299,117.0442
2026-05-10,117.0442,0.5000,0.0000,0.0000,0.0000,0.1301,117.1743
2026-05-11,117.1743,0.5000,0.0000,0.0000,0.0000,0.1302,117.3045
2026-05-12,117.3045,0.5000,0.0000,0.0000,0.0000,0.1304,117.4349
2026-05-13,117.4349,0.5000,0.0000,0.0000,0.0000,0.1305,117.5655
2026-05-14,117.5655,0.5000,0.0000,0.0000,0.0000,0.1307,117.6961
2026-05-15,117.6961,0.5000,0.0000,0.0000,0.0000,0.1308,117.8269
2026-05-16,117.8269,0.5000,0.0000,0.0000,0.0000,0.1310,117.9579
2026-05-17,117.9579,0.5000,0.0000,0.0000,0.0000,0.1311,118.0890
2026-05-18,118.0890,0.5000,0.0000,0.0000,0.0000,0.1313,118.2203
2026-05-19,118.2203,0.5000,0.0000,0.0000,0.0000,0.1314,118.3517
2026-05-20,118.3517,0.5000,0.0000,0.0000,0.0000,0.1315,118.4832
2026-05-21,118.4832,0.5000,0.0000,0.0000,0.0000,0.1317,118.6149
2026-05-22,118.6149,0.5000,0.0000,0.0000,0.0000,0.1318,118.7467
2026-05-23,118.7467,0.5000,0.0000,0.0000,0.0000,0.1320,118.8787
2026-05-24,118.8787,0.5000,0.0000,0.0000,0.0000,0.1321,119.0109
2026-05-25,119.0109,0.5000,0.0000,0.0000,0.0000,0.1323,119.1431
2026-05-26,119.1431,0.5000,0.0000,10.0000,0.0000,0.1435,129.2867
2026-05-27,129.2867,0.5000,0.0000,0.0000,0.0000,0.1437,129.4304
2026-05-28,129.4304,0.5000,0.0000,0.0000,0.0000,0.1439,129.5742
2026-05-29,129.5742,0.5000,0.0000,0.0000,0.0000,0.1440,129.7183
2026-05-30,129.7183,0.5000,0.0000,0.0000,0.0000,0.1442,129.8624
2026-05-31,129.8624,0.5000,0.0000,0.0000,0.0000,0.1443,130.0068
2026-06-01,130.0068,0.5000,0.0000,0.0000,0.0000,0.1445,130.1513
