date,close
2010-01-01,0.89
2010-02-01,0.94
2010-03-01,1.05
2010-04-01,1.41
2010-05-01,1.59
2010-06-01,1.55
2010-07-01,1.47
2010-08-01,1.79
2010-09-01,2.32
2010-10-01,2.48
2010-11-01,2.94
2010-12-01,2.51
2011-01-01,3.06
2011-02-01,2.95
2011-03-01,3.4
2011-04-01,3.32
2011-05-01,3.87
2011-06-01,3.75
2011-07-01,3.8
2011-08-01,3.36
2011-09-01,1.62
2011-10-01,1.17
2011-11-01,0.92
2011-12-01,0.99
2012-01-01,1.72
2012-02-01,1.58
2012-03-01,1.64
2012-04-01,1.14
2012-05-01,0.91
2012-06-01,0.98
2012-07-01,0.81
2012-08-01,0.85
2012-09-01,0.78
2012-10-01,1.13
2012-11-01,1.17
2012-12-01,1.32
2013-01-01,2.36
2013-02-01,2.69
2013-03-01,2.7
2013-04-01,3.09
2013-05-01,3.23
2013-06-01,3.02
2013-07-01,3.49
2013-08-01,4.06
2013-09-01,4.42
2013-10-01,4.61
2013-11-01,5.23
2013-12-01,5.26
2014-01-01,5.85
2014-02-01,6.37
2014-03-01,5.03
2014-04-01,4.6
2014-05-01,5.97
2014-06-01,6.29
2014-07-01,6.04
2014-08-01,6.82
2014-09-01,6.45
2014-10-01,5.61
2014-11-01,4.95
2014-12-01,4.88
2015-01-01,6.31
2015-02-01,6.78
2015-03-01,5.95
2015-04-01,7.95
2015-05-01,8.92
2015-06-01,9.38
2015-07-01,11.43
2015-08-01,11.5
2015-09-01,10.33
2015-10-01,10.84
2015-11-01,12.33
2015-12-01,11.44
2016-01-01,9.18
2016-02-01,9.34
2016-03-01,10.22
2016-04-01,9.0
2016-05-01,10.26
2016-06-01,9.15
2016-07-01,9.12
2016-08-01,9.74
2016-09-01,9.85
2016-10-01,12.49
2016-11-01,11.7
2016-12-01,12.38
2017-01-01,14.07
2017-02-01,14.21
2017-03-01,14.78
2017-04-01,15.22
2017-05-01,16.31
2017-06-01,14.94
2017-07-01,18.17
2017-08-01,17.47
2017-09-01,18.14
2017-10-01,19.64
2017-11-01,18.76
2017-12-01,19.2
2018-01-01,27.03
2018-02-01,29.14
2018-03-01,29.53
2018-04-01,31.25
2018-05-01,35.16
2018-06-01,39.14
2018-07-01,33.74
2018-08-01,36.77
2018-09-01,37.41
2018-10-01,30.18
2018-11-01,28.61
2018-12-01,26.77
2019-01-01,33.95
2019-02-01,35.81
2019-03-01,35.66
2019-04-01,37.05
2019-05-01,34.33
2019-06-01,36.73
2019-07-01,32.3
2019-08-01,29.38
2019-09-01,26.76
2019-10-01,28.74
2019-11-01,31.47
2019-12-01,32.36
2020-01-01,34.51
2020-02-01,36.9
2020-03-01,37.55
2020-04-01,41.99
2020-05-01,41.97
2020-06-01,45.5
2020-07-01,48.89
2020-08-01,52.96
2020-09-01,50.0
2020-10-01,47.57
2020-11-01,49.07
2020-12-01,54.07
2021-01-01,53.24
2021-02-01,53.88
2021-03-01,52.17
2021-04-01,51.35
2021-05-01,50.28
2021-06-01,52.82
2021-07-01,51.76
2021-08-01,56.92
2021-09-01,61.03
2021-10-01,69.03
2021-11-01,64.19
2021-12-01,60.24
2022-01-01,42.71
2022-02-01,39.45
2022-03-01,37.46
2022-04-01,19.04
2022-05-01,19.74
2022-06-01,17.49
2022-07-01,22.49
2022-08-01,22.36
2022-09-01,23.54
2022-10-01,29.19
2022-11-01,30.55
2022-12-01,29.49
2023-01-01,35.39
2023-02-01,32.21
2023-03-01,34.55
2023-04-01,32.99
2023-05-01,39.52
2023-06-01,44.05
2023-07-01,43.9
2023-08-01,43.37
2023-09-01,37.76
2023-10-01,41.17
2023-11-01,47.4
2023-12-01,48.69
2024-01-01,56.41
2024-02-01,60.29
2024-03-01,60.73
2024-04-01,55.06
2024-05-01,64.16
2024-06-01,67.49
2024-07-01,62.83
2024-08-01,70.14
2024-09-01,70.93
2024-10-01,75.6
2024-11-01,88.68
2024-12-01,89.13
2025-01-01,97.68
2025-02-01,98.06
2025-03-01,93.25
2025-04-01,113.17
2025-05-01,120.72
2025-06-01,133.91
2025-07-01,115.94
2025-08-01,120.82
2025-09-01,119.89
2025-10-01,111.89
2025-11-01,107.58
2025-12-01,93.76
2026-01-01,83.49
2026-02-01,96.24
2026-03-01,96.15
2026-04-01,92.82
