date,close
2010-01-01,0.35
2010-02-01,0.37
2010-03-01,0.4
2010-04-01,0.36
2010-05-01,0.3
2010-06-01,0.23
2010-07-01,0.21
2010-08-01,0.21
2010-09-01,0.27
2010-10-01,0.28
2010-11-01,0.31
2010-12-01,0.35
2011-01-01,0.55
2011-02-01,0.52
2011-03-01,0.42
2011-04-01,0.46
2011-05-01,0.46
2011-06-01,0.37
2011-07-01,0.32
2011-08-01,0.31
2011-09-01,0.29
2011-10-01,0.34
2011-11-01,0.36
2011-12-01,0.32
2012-01-01,0.34
2012-02-01,0.35
2012-03-01,0.35
2012-04-01,0.3
2012-05-01,0.28
2012-06-01,0.32
2012-07-01,0.31
2012-08-01,0.32
2012-09-01,0.31
2012-10-01,0.27
2012-11-01,0.27
2012-12-01,0.28
2013-01-01,0.28
2013-02-01,0.29
2013-03-01,0.3
2013-04-01,0.32
2013-05-01,0.34
2013-06-01,0.33
2013-07-01,0.34
2013-08-01,0.34
2013-09-01,0.36
2013-10-01,0.36
2013-11-01,0.37
2013-12-01,0.38
2014-01-01,0.37
2014-02-01,0.43
2014-03-01,0.42
2014-04-01,0.44
2014-05-01,0.45
2014-06-01,0.44
2014-07-01,0.42
2014-08-01,0.46
2014-09-01,0.44
2014-10-01,0.47
2014-11-01,0.5
2014-12-01,0.48
2015-01-01,0.46
2015-02-01,0.53
2015-03-01,0.5
2015-04-01,0.53
2015-05-01,0.53
2015-06-01,0.49
2015-07-01,0.48
2015-08-01,0.54
2015-09-01,0.6
2015-10-01,0.69
2015-11-01,0.77
2015-12-01,0.8
2016-01-01,0.71
2016-02-01,0.76
2016-03-01,0.87
2016-04-01,0.87
2016-05-01,1.14
2016-06-01,1.15
2016-07-01,1.4
2016-08-01,1.51
2016-09-01,1.68
2016-10-01,1.75
2016-11-01,2.27
2016-12-01,2.63
2017-01-01,2.69
2017-02-01,2.5
2017-03-01,2.69
2017-04-01,2.57
2017-05-01,3.56
2017-06-01,3.57
2017-07-01,4.01
2017-08-01,4.18
2017-09-01,4.42
2017-10-01,5.11
2017-11-01,4.96
2017-12-01,4.78
2018-01-01,6.08
2018-02-01,5.98
2018-03-01,5.73
2018-04-01,5.56
2018-05-01,6.24
2018-06-01,5.86
2018-07-01,6.06
2018-08-01,6.95
2018-09-01,6.96
2018-10-01,5.22
2018-11-01,4.05
2018-12-01,3.31
2019-01-01,3.56
2019-02-01,3.82
2019-03-01,4.46
2019-04-01,4.49
2019-05-01,3.36
2019-06-01,4.08
2019-07-01,4.19
2019-08-01,4.16
2019-09-01,4.33
2019-10-01,5.0
2019-11-01,5.39
2019-12-01,5.86
2020-01-01,5.88
2020-02-01,6.72
2020-03-01,6.56
2020-04-01,7.28
2020-05-01,8.84
2020-06-01,9.46
2020-07-01,10.58
2020-08-01,13.33
2020-09-01,13.48
2020-10-01,12.49
2020-11-01,13.36
2020-12-01,13.01
2021-01-01,12.95
2021-02-01,13.68
2021-03-01,13.31
2021-04-01,14.97
2021-05-01,16.2
2021-06-01,19.95
2021-07-01,19.45
2021-08-01,22.33
2021-09-01,20.67
2021-10-01,25.51
2021-11-01,32.61
2021-12-01,29.35
2022-01-01,24.44
2022-02-01,24.34
2022-03-01,27.23
2022-04-01,18.51
2022-05-01,18.64
2022-06-01,15.13
2022-07-01,18.13
2022-08-01,15.07
2022-09-01,12.12
2022-10-01,13.48
2022-11-01,16.9
2022-12-01,14.6
2023-01-01,19.52
2023-02-01,23.19
2023-03-01,27.75
2023-04-01,27.72
2023-05-01,37.8
2023-06-01,42.26
2023-07-01,46.69
2023-08-01,49.32
2023-09-01,43.47
2023-10-01,40.75
2023-11-01,46.74
2023-12-01,49.49
2024-01-01,61.49
2024-02-01,79.06
2024-03-01,90.3
2024-04-01,86.35
2024-05-01,109.57
2024-06-01,123.47
2024-07-01,116.96
2024-08-01,119.31
2024-09-01,121.38
2024-10-01,132.71
2024-11-01,138.2
2024-12-01,134.24
2025-01-01,120.03
2025-02-01,124.88
2025-03-01,108.34
2025-04-01,108.89
2025-05-01,135.1
2025-06-01,157.95
2025-07-01,177.84
2025-08-01,174.15
2025-09-01,186.55
2025-10-01,202.47
2025-11-01,176.98
2025-12-01,186.48
2026-01-01,191.12
2026-02-01,177.18
2026-03-01,174.39
2026-04-01,199.64
